Bibcodes
1997HIP...C......0E
2003A&A...401..781F
2003AJ....126.1090C
2004ApJS..154...10F
2004ApJS..154...25R
1992AJ....104.1650C
1998A&A...333..231B
2003tmc..book.....C
1966CoLPL...4...99J
2003AJ....126.2048G
2004ApJS..152..261W
1996AJ....111..439H
1991ApJS...76..383D
1989ApJS...71..245K
2004A&A...424..727P
2001A&A...373..159C
1997A&AS..124..299C
1980SAAOC...1..166C
1980SAAOC...1..234C
1994A&AS..104..429O
1994A&AS..106..257O
1993A&AS..102...89O
1966MNRAS.133..475A
1979ApJS...39...89E
1992AJ....103.2048G
2004A&A...418..989N
1975MSS...C01....0H
1978MSS...C02....0H
1982MSS...C03....0H
1988MSS...C04....0H
1999mctd.book.....H
2000PASP..112..961B
2000A&A...355L..27H
1998A&AS..132..155H
1999A&AS..135..319H
2004A&A...417..651S
2000AcA....50..509G
2003A&A...397..147P
2003A&A...398..647R
2003A&A...412..813R
1979PASP...91..589B
1996ApJ...469..355F
1978bsch.book.....B
2000AJ....119.1448H
1980afcp.book.....L
2005PrvComC01....0C
1993Icar..101..108K
2005PThPS.158...24M
1997A&AS..125..523W
1932ADS...C......0A
1903BD....C......0A
1892RNAO...16....1T
1896AnCap...3....1G
1983BICDS..24...83D
1776QB65.F5........
1988VeARI..32....1F
1971LowPM.C......0G
1991adc..rept.....G
2001AJ....121.1752M
1918AnHar..91....1C
1992BICDS..41....9T
1964BS....C......OH
1979LHS...C......0L
1941POMin...3...33L
1941POMin...3....1L
1957LTT...C......0L
1952GCTP..C......0J
1988A&AS...74..449R
1989STIN...9131036R
1980AJ.....85..454H
1998A&AS..129..431H
1995A&AS..110..367N
2005ApJS..159..141V
2002ApJS..141..503N
2004DPS....36.4208T
2004A&A...415.1153S
2005A&A...437.1127S
1988iras....1.....B
2005ApJ...622.1160B
1998AAS...192.6708G
1986FCPh...11....1S
1992adps.book.....L
2006A&A...451..345L
1992AcA....42..253U
2004ApJ...613L.153A
2005PASP..117..783M
2006AJ....132..161G
2006ApJ...636.1098B
1886BD....C......0A
2007ApJ...656..552B
2006Natur.443..534S
2007MNRAS.375..951C
1993AJ....106..773H
2006A&A...450..825S
2000ApJ...545..504B
2002ApJ...575..484G
1977ApJ...214..747H
1989ApJ...340.1011F
2007ApJS..173..104L
2007ApJ...666L.121T
1987ApJS...64..241S
2007AAS...210.9605J
1971GCVS3.C......0K
1995bmsb.conf..123B
1987AJ.....93..864J
2006ApJ...646..505B
2004A&A...414..351N
2005ApJ...629L.121L
2000ApJ...532L..55M
2000A&A...359L..13Q
2000ApJ...529L..41H
2007MNRAS.380.1488K
2000ApJ...536..902V
1998PASP..110.1389B
2003ApJ...597.1076K
2004ApJ...609.1071T
2003Natur.421..507K
2004A&A...426..695Z
2004ApJ...609L..37K
2004A&A...421L..13B
2005A&A...438.1123P
1998A&A...338L..67D
2001ApJ...556..296M
2001ApJ...551L.109L
2005ApJ...622.1182L
2005ApJ...634..625R
2006ApJ...653..700S
1998ApJ...505L.147M
2006ApJ...647..600J
2006ApJ...653L..69W
2003A&A...407..679U
2004ApJ...617..580B
2007PASP..119...90M
2007ApJ...671L.173B
1997ApJ...474L.115B
2002ApJ...581.1375M
2004ApJ...614L..81M
2002ApJ...578..565B
2004A&A...415..391M
2000ApJ...536L..43M
2000Mercu..29d..13F
1992oasp.book.....G
2005prpl.conf.8492T
1995AJ....110.1838R
2005A&A...444L..15B
2008A&A...480L..33T
2007A&A...472L..13G
2010ApJ...711.1229A
2005AJ....130.2347E
2011ApJ...742..116B
2009A&A...501..785G
2006ApJ...646..523R
1997A&A...326.1081F
2004ApJ...607..982M
2014ApJ...791...89D
2008A&A...487..373S
2015AJ....150...56J
2013A&A...549A..10H
2016ApJ...825...53H
2016AJ....152..204L
2017AJ....154...59B
2012ApJ...746...46C
2018AJ....156..213M
2019AJ....157..245H
2019AJ....158..138S
2019MNRAS.482.1379H
2017A&A...607A..45S
2021ApJ...908..114Y
1996AJ....112.2799H
2005AJ....130.1212C
1976Ap&SS..44..479T
2005AJ....129..413S
2001ApJ...552..699B
2008ASPC..384..270A
1998PASP..110.1046K
2006AJ....132.1645S
2008ApJS..179..423C
1999A&A...350..612N
2007ApJ...657.1098W
2007ApJ...658.1322C
2006ApJ...650.1160B
2007AJ....133.1828W
2007ApJ...655..564K
2006ApJ...636..445C
2006ApJ...652.1715H
2007AJ....133...11W
2007ApJ...655.1103H
2007ApJ...664.1185H
2006ApJ...649.1043R
2003ApJ...582.1011S
2005ApJ...633..465S
2007AJ....134.1707W
2002AcA....52....1U
2002AcA....52..115U
2002AcA....52..317U
2003AcA....53..133U
2002AJ....123.2822R
2006ApJ...648.1228M
1992AJ....104.1144R
2006ApJ...651L..61O
1988Ap&SS.142..123R
1978AJ.....83..785S
1979A&AS...36...57B
1983A&AS...53..291A
1992A&AS...94..273C
2005ApJ...628L.109U
2006ApJ...644L..37G
2004ApJ...606L.155B
2006AJ....132.2360H
2005AJ....129..409D
2007ApJ...671.2115B
2000A&A...359..269C
2006PASP..118.1666D
1989A&AS...78..363C
1979ApJ...234..168E
2007ApJ...663L..37O
2007ApJ...667L.195M
2002MNRAS.331L..19B
2001A&A...368..175O
1991ApJS...77..417K
1996ASPC..105..525A
2003ApJ...591L.147K
2007MNRAS.376.1296S
1994AJ....108.1437H
1975ascp.book.....H
1983SAAOC...7..106W
2002A&A...392..215S
2002A&A...391L..17D
2007ApJ...670L..41K
2007ApJ...654..625W
2001ApJ...551..507T
2005A&A...431.1105B
2005ApJ...624..372K
2005A&A...443..337G
2006JBAA..116...78K
2004A&A...423..385P
2005ApJ...620..481F
2005A&A...439..367M
2000A&A...356..590U
2003AJ....126.3099E
2008Natur.451...38S
2008A&A...482..299U
2007A&A...467..721M
2008ApJ...673L..79N
2008ApJ...675L..37W
2003ApJ...587..423T
2008A&A...487..749P
2004A&A...426L..15P
2006ApJ...637.1094F
2006ApJ...648..683G
2008ASPC..398...93S
1995Natur.378..355M
1999ApJ...526..916B
2007A&A...474..293B
2005A&A...443L..15B
2007A&A...469L..43U
2007ApJ...670..826B
2006A&A...446..717D
2002ApJ...568..352V
2007ApJ...657..533W
2002A&A...388..632P
2006ApJ...652.1724J
2006A&A...458..327M
2005ApJ...632..638V
1999PASP..111...50F
2001ApJ...551.1107F
2002A&A...390..267U
2006Natur.441..305L
1997ApJ...481..926M
2008A&A...481..529L
1990A&AS...83..357B
2004MNRAS.353..689K
2007A&A...462..769P
2001ApJ...555..410B
2002MNRAS.337.1170J
2004ApJ...617..575M
2004A&A...426L..19S
2008ApJ...673.1165E
2003ApJ...586.1394F
2006A&A...447..361U
2000A&A...354...99Q
2005ApJ...619..570M
2003A&A...410.1051N
2005A&A...437.1121L
2005ApJ...623.1171T
2007ApJ...669.1336F
2008PASJ...60L...1N
2000A&A...356..599S
2003A&A...406..373S
2007A&A...473..323D
1997ApJ...483L.111N
2008ApJ...672.1202B
2004ApJ...611L.133C
1999ApJ...520..239M
2001ApJ...555..418M
2003ApJ...590.1081F
2002ApJ...568..363Z
1989Natur.339...38L
1991ApJ...380L..35C
2001A&A...375L..27N
1996ApJ...464L.147M
2001A&A...375..205N
2003ApJ...582..455B
2006ApJ...647..594T
2007ApJ...665.1407C
2003ApJ...597L.157S
2007ApJ...670.1391R
2003A&A...410.1039P
2005A&A...440..751C
2000ApJ...533L.147K
2007A&A...472..649D
2008PASJ...60..539S
2007ApJ...665..785J
2000A&A...353L..33K
2002ApJ...571..528T
2008IAUS..249...43N
2007ApJ...669.1354N
2001A&A...379..999S
2007A&A...470..721N
2005A&A...444L..21G
2007ApJ...660.1636O
2009MNRAS.392.1532J
2008ApJ...675..784J
2003A&A...398L..19S
2008psa..conf..201S
2006ApJ...647..573G
2005A&A...437..743H
2002ApJ...576..478F
2007A&A...474..647S
2006MNRAS.369..249J
2006ApJ...652..661R
1993ApJ...413..339H
2007ApJ...661..527S
2003A&A...404..775Z
2007A&A...472..657L
2007ApJ...670..833J
2005A&A...437L..31S
1997ApJ...483..457C
1999PASP..111..321H
2007ApJ...660L.145S
2006AJ....131.3131E
2003ApJ...599.1383H
1992ApJ...396L..91W
2006A&A...449..417S
1996ApJ...464L.153B
2002ApJ...564.1028F
2002PASP..114..529F
2008A&A...479..271C
2003MNRAS.341..948J
2007ApJ...666L.113J
2006A&A...446.1165J
2006PASP..118.1685B
2006A&A...447.1159E
2002MNRAS.333..871J
2003ApJ...593L..43C
2006AJ....132.2206B
1988ApJ...331..902C
2000ApJ...544L.145H
1995Icar..116..359W
2008ApJ...683L..63W
2003ASPC..294...17U
2004A&A...424L..31M
2007A&A...466..743G
2006A&A...459..249G
2007A&A...465.1069P
2007A&A...475.1125D
2007ApJ...660..858M
2007ApJ...658.1328C
2007Natur.447..183K
2007ApJ...660..850D
2006A&A...457..335H
2008ApJ...680.1450P
2007ApJ...654.1095T
2002Obs...122...90G
1999ApJ...526..890C
2008A&A...482L..21A
2008A&A...482L..17B
2008A&A...482L..25B
2003ASPC..305..124M
2006ApJ...642..470A
2004PASP..116.1093R
2007ApJ...659.1611W
2004Natur.430...51M
2005ApJ...623L.145W
2005ApJ...635..547G
2005ApJ...634L.109L
2005ApJ...635L..77W
2006ApJ...646.1241R
2006ApJ...648..607C
2006ApJ...650.1111S
2007A&A...468.1033B
2008A&A...478..497K
2007MNRAS.379.1498G
2008A&A...479..845M
2007AJ....134.1206K
2007MNRAS.380L..63R
2007CoAst.151....5G
2005ApJ...632.1157W
2008ApJ...686.1331B
