paper,ea prob,true label,predicted label
1202.5809,0.025227011995627928,0,0
1307.1705,0.02528371860764022,0,0
1505.02172,0.05984901572176863,0,0
1606.09199,0.04314628396578297,0,0
1803.00575,0.7350742942384983,0,1
1803.05952,0.09007533107320492,0,0
1809.02174,0.029135688347773876,0,0
1810.04975,0.014237996761533101,0,0
1903.06944,0.09608435402248022,0,0
1905.09619,0.4734247820506253,0,0
1910.10439,0.01848074092491685,0,0
2002.07404,0.3778531876047108,0,0
2004.01042,0.017410968865142592,0,0
2007.11660,0.9359644540942323,0,1
2008.02175,0.033837434766605896,0,0
2009.04158,0.02285190000325547,0,0
2009.05558,0.03719580209895433,0,0
2011.03130,0.024425575811153295,0,0
2011.09510,0.06034001505723258,0,0
2011.10503,0.027920524348704092,0,0
2012.08737,0.16554235700718223,0,0
2012.09751,0.013455310165944446,0,0
2102.01082,0.052578337162603184,0,0
2102.02409,0.11725459512854135,0,0
2103.00603,0.0529754028264372,0,0
2103.12139,0.9501014887064347,0,1
2104.03322,0.06296189337981425,0,0
2104.03734,0.034527248086532354,0,0
2106.00584,0.5476429416111421,0,1
2106.04352,0.09505283834015255,0,0
2106.10380,0.04098026238954267,0,0
2106.13793,0.014678192173272826,0,0
2106.14961,0.048160184871017385,0,0
2107.07258,0.04276772911609065,0,0
2107.11397,0.024570156703222816,0,0
2107.13391,0.0727964294688266,0,0
2108.04515,0.0358912825876212,0,0
2109.01168,0.09575598966817456,0,0
2109.14252,0.04792691889504732,0,0
2110.02097,0.023688361179890125,0,0
2110.09685,0.03723690067191344,0,0
2110.13169,0.08271019097657423,0,0
2110.15410,0.029594610185434307,0,0
2111.01362,0.02671046155289861,0,0
2111.02624,0.01953692720925651,0,0
2111.05739,0.016030680498043855,0,0
2111.05847,0.03413153954266933,0,0
2111.06845,0.05085202681874608,0,0
2111.07178,0.015029527750013962,0,0
2111.07385,0.1970318452378583,0,0
2111.08683,0.029320706852939273,0,0
2111.14225,0.10129384598103762,0,0
2111.15035,0.030203232131201106,0,0
2111.15280,0.0190034047892887,0,0
2112.06830,0.0254164342232349,0,0
2112.07404,0.0650663735069282,0,0
2112.10736,0.025779477545021336,0,0
2201.02454,0.026052124334876203,0,0
2201.04666,0.04491982089375715,0,0
2201.05866,0.044258816540715167,0,0
2201.08335,0.1858956523057188,0,0
2201.09963,0.9974906967122142,0,1
2201.12187,0.062281457919112146,0,0
2202.06969,0.010085933661006208,0,0
2202.07490,0.022197514236680156,0,0
2202.08819,0.059420971048587914,0,0
2202.10149,0.5543230016078488,0,1
2202.11236,0.11457404822827408,0,0
2202.11546,0.014321726494520471,0,0
2202.11675,0.005460272846216606,0,0
2203.01980,0.020865621498182624,0,0
2203.04782,0.01943656966555647,0,0
2203.07178,0.9979063387371749,0,1
2203.07377,0.013559696693975283,0,0
2203.11227,0.44327025076907967,0,0
2203.11288,0.0765150475923198,0,0
2203.14060,0.08160256333319213,0,0
2203.15481,0.14985188902110427,0,0
2203.16547,0.007059335802257656,0,0
2203.16652,0.06300182590501913,0,0
2203.16959,0.9421812964796306,1,1
2203.16990,0.014940527294894868,0,0
2204.00090,0.01868143905906273,0,0
2204.02098,0.02458102952347815,0,0
2204.02945,0.004682168150141256,0,0
2204.04356,0.06959173016605048,0,0
2204.08657,0.022131615854367296,0,0
2204.09072,0.025133506906318652,0,0
2204.09237,0.052507998450551215,0,0
2204.09339,0.013014980569730716,0,0
2204.10415,0.13281773936020558,0,0
2204.12984,0.036209333184270207,0,0
2204.13051,0.22984980690730822,0,0
2204.13713,0.01774074663548147,0,0
2204.14016,0.009280214806430981,0,0
2205.00092,0.13829574734298894,0,0
2205.00521,0.027286233226988615,0,0
2205.01033,0.03191205601262107,0,0
2205.01055,0.01576463677266479,0,0
2205.01507,0.033753726183999466,0,0
2205.01735,0.3453682062558914,0,0
2205.01986,0.009618569904132524,0,0
2205.02384,0.0637510004640852,0,0
2205.02567,0.012781515753711907,0,0
2205.02846,0.5430397530058882,0,1
2205.04708,0.040463360696585154,0,0
2205.04985,0.10309951058301732,0,0
2205.05017,0.015685126889073767,0,0
2205.05132,0.04974502753570578,0,0
2205.05200,0.02362802699086119,0,0
2205.05701,0.05908870409339183,0,0
2205.07898,0.052616676448165284,0,0
2205.07964,0.3139446832320877,0,0
2205.08213,0.5874235347264645,0,1
2205.08268,0.06405963598970363,0,0
2205.08884,0.01365782276309715,0,0
2205.09069,0.04327485636364611,0,0
2205.09770,0.02107800412321465,0,0
2205.11072,0.02418772510220349,0,0
2205.11538,0.022149423565649848,0,0
2205.12162,0.9307473602852574,1,1
2205.12362,0.0903507829076371,0,0
2205.13006,0.04846749482351736,0,0
2205.13007,0.050264473077548055,0,0
2205.13227,0.038990198196524196,0,0
2205.13622,0.0280374404687926,0,0
2205.13768,0.12562644082675387,0,0
2205.15336,0.03011157297908191,0,0
2206.00091,0.08590105695883467,0,0
2206.00671,0.04836444328458986,0,0
2206.01462,0.02036231049583219,0,0
2206.02488,0.08637840421569544,0,0
2206.03485,0.024215000647877252,0,0
2206.05299,0.0163194901106494,0,0
2206.06319,0.009713366871085951,0,0
2206.06656,0.11310862586679156,0,0
2206.07419,0.07733422383001233,0,0
2206.08013,0.05796448509762504,0,0
2206.09227,0.013110467121393172,0,0
2206.10260,0.02929358872353968,0,0
2206.10367,0.02270304025815341,0,0
2206.10416,0.08014623492136999,0,0
2206.10710,0.03216403905468352,0,0
2206.12722,0.04971428692654341,0,0
2206.14211,0.1120774053620112,0,0
2206.14598,0.034872131287304195,0,0
2206.14881,0.02101639998318809,0,0
2207.00064,0.10343573811061754,0,0
2207.01065,0.06434094473742565,0,0
2207.03107,0.023070255376050373,0,0
2207.03144,0.015829587531525253,0,0
2207.03437,0.049532777362233174,0,0
2207.03499,0.11831025850790783,0,0
2207.04070,0.06866615529918661,0,0
2207.04110,0.12121269483701147,0,0
2207.04924,0.07256470966026136,0,0
2207.05371,0.11226848871632224,0,0
2207.05534,0.06638973045585388,0,0
2207.05829,0.014308641413714997,0,0
2207.06317,0.022420632977776595,0,0
2207.07102,0.05650712684043262,0,0
2207.07126,0.005538318902167559,0,0
2207.07130,0.008517844352390783,0,0
2207.08355,0.01915415744195977,0,0
2207.09005,0.05997343835754507,0,0
2207.09477,0.08623030682375354,0,0
2207.11966,0.044704441980393646,0,0
2207.11967,0.020778009607382873,0,0
2207.11968,0.021405254614389316,0,0
2207.12073,0.05560615772039766,0,0
2207.12337,0.03136789785953552,0,0
2207.12423,0.02949944423586776,0,0
2207.12588,0.06610465565163672,0,0
2207.13059,0.04267671091592298,0,0
2207.13086,0.018857790015551386,0,0
